                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70604,                0.80952,                      1,                0.81604,             0.00023626,             0.00023626,             0.00023626
                      2,                0.44675,                0.82857,                      1,                0.72742,             0.00046957,             0.00046957,             0.00046957
                      3,                0.38259,                0.79048,                      1,                0.75806,             0.00069816,             0.00069816,             0.00069816
                      4,                0.29764,                0.74286,                      1,                0.75916,             0.00069279,             0.00069279,             0.00069279
                      5,                0.28416,                0.80952,                      1,                0.74829,             0.00069279,             0.00069279,             0.00069279
                      6,                0.23981,                0.89524,                      1,                0.65112,             0.00068573,             0.00068573,             0.00068573
                      7,                0.19603,                0.84762,                      1,                0.68774,             0.00067866,             0.00067866,             0.00067866
                      8,                0.17799,                0.87619,                      1,                0.65698,             0.00067159,             0.00067159,             0.00067159
                      9,                0.12988,                0.91429,                      1,                0.67981,             0.00066452,             0.00066452,             0.00066452
                     10,                0.12653,                0.86667,                      1,                0.66919,             0.00065745,             0.00065745,             0.00065745
                     11,                0.14678,                0.88571,                      1,                0.67444,             0.00065038,             0.00065038,             0.00065038
                     12,                0.10087,                0.84762,                      1,                0.66956,             0.00064331,             0.00064331,             0.00064331
                     13,                0.09821,                 0.8381,                      1,                0.74194,             0.00063625,             0.00063625,             0.00063625
                     14,                0.10811,                0.85714,                      1,                0.69849,             0.00062918,             0.00062918,             0.00062918
                     15,                0.09115,                0.86667,                      1,                0.65564,             0.00062211,             0.00062211,             0.00062211
                     16,                0.08773,                0.86667,                      1,                 0.6593,             0.00061504,             0.00061504,             0.00061504
                     17,                0.08414,                0.87619,                      1,                0.65771,             0.00060797,             0.00060797,             0.00060797
                     18,                0.07735,                0.87619,                      1,                0.67371,              0.0006009,              0.0006009,              0.0006009
                     19,                0.07384,                0.89524,                      1,                0.63977,             0.00059383,             0.00059383,             0.00059383
                     20,                0.08337,                0.86667,                      1,                0.69031,             0.00058677,             0.00058677,             0.00058677
                     21,                0.08589,                0.86667,                      1,                0.67444,              0.0005797,              0.0005797,              0.0005797
                     22,                0.05602,                0.86667,                      1,                0.67908,             0.00057263,             0.00057263,             0.00057263
                     23,                0.04315,                0.82857,                      1,                0.68909,             0.00056556,             0.00056556,             0.00056556
                     24,                0.06034,                0.86667,                      1,                0.68188,             0.00055849,             0.00055849,             0.00055849
                     25,                0.05407,                0.87619,                      1,                0.67432,             0.00055142,             0.00055142,             0.00055142
                     26,                 0.0475,                0.86667,                      1,                0.66687,             0.00054435,             0.00054435,             0.00054435
