                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70604,                0.80952,                      1,                0.81604,             0.00023626,             0.00023626,             0.00023626
                      2,                0.44675,                0.82857,                      1,                0.72742,             0.00046957,             0.00046957,             0.00046957
                      3,                0.38259,                0.79048,                      1,                0.75806,             0.00069816,             0.00069816,             0.00069816
                      4,                0.29764,                0.74286,                      1,                0.75916,             0.00069279,             0.00069279,             0.00069279
                      5,                0.28416,                0.80952,                      1,                0.74829,             0.00069279,             0.00069279,             0.00069279
                      6,                0.23981,                0.89524,                      1,                0.65112,             0.00068573,             0.00068573,             0.00068573
                      7,                0.19603,                0.84762,                      1,                0.68774,             0.00067866,             0.00067866,             0.00067866
                      8,                0.17799,                0.87619,                      1,                0.65698,             0.00067159,             0.00067159,             0.00067159
                      9,                0.12988,                0.91429,                      1,                0.67981,             0.00066452,             0.00066452,             0.00066452
                     10,                0.12653,                0.86667,                      1,                0.66919,             0.00065745,             0.00065745,             0.00065745
                     11,                0.14678,                0.88571,                      1,                0.67444,             0.00065038,             0.00065038,             0.00065038
                     12,                0.10087,                0.84762,                      1,                0.66956,             0.00064331,             0.00064331,             0.00064331
                     13,                0.09821,                 0.8381,                      1,                0.74194,             0.00063625,             0.00063625,             0.00063625
                     14,                0.10811,                0.85714,                      1,                0.69849,             0.00062918,             0.00062918,             0.00062918
                     15,                0.09115,                0.86667,                      1,                0.65564,             0.00062211,             0.00062211,             0.00062211
                     16,                0.08773,                0.86667,                      1,                 0.6593,             0.00061504,             0.00061504,             0.00061504
                     17,                0.08414,                0.87619,                      1,                0.65771,             0.00060797,             0.00060797,             0.00060797
                     18,                0.07735,                0.87619,                      1,                0.67371,              0.0006009,              0.0006009,              0.0006009
                     19,                0.07384,                0.89524,                      1,                0.63977,             0.00059383,             0.00059383,             0.00059383
                     20,                0.08337,                0.86667,                      1,                0.69031,             0.00058677,             0.00058677,             0.00058677
                     21,                0.08589,                0.86667,                      1,                0.67444,              0.0005797,              0.0005797,              0.0005797
                     22,                0.05602,                0.86667,                      1,                0.67908,             0.00057263,             0.00057263,             0.00057263
                     23,                0.04315,                0.82857,                      1,                0.68909,             0.00056556,             0.00056556,             0.00056556
                     24,                0.06034,                0.86667,                      1,                0.68188,             0.00055849,             0.00055849,             0.00055849
                     25,                0.05407,                0.87619,                      1,                0.67432,             0.00055142,             0.00055142,             0.00055142
                     26,                 0.0475,                0.86667,                      1,                0.66687,             0.00054435,             0.00054435,             0.00054435
                     27,                0.06428,                0.88571,                      1,                0.64294,             0.00053728,             0.00053728,             0.00053728
                     28,                0.05557,                0.88571,                      1,                0.66016,             0.00053022,             0.00053022,             0.00053022
                     29,                0.05765,                0.86667,                      1,                0.69067,             0.00052315,             0.00052315,             0.00052315
                     30,                0.04745,                0.88571,                      1,                0.66052,             0.00051608,             0.00051608,             0.00051608
                     31,                0.04478,                0.87619,                      1,                0.67358,             0.00050901,             0.00050901,             0.00050901
                     32,                0.03928,                0.88571,                      1,                0.65015,             0.00050194,             0.00050194,             0.00050194
                     33,                0.03959,                 0.8381,                      1,                0.69421,             0.00049487,             0.00049487,             0.00049487
                     34,                0.03396,                0.88571,                      1,                0.64404,              0.0004878,              0.0004878,              0.0004878
                     35,                0.03993,                0.89524,                      1,                0.63928,             0.00048074,             0.00048074,             0.00048074
                     36,                0.03057,                0.88571,                      1,                 0.6615,             0.00047367,             0.00047367,             0.00047367
                     37,                0.02876,                0.88571,                      1,                0.63831,              0.0004666,              0.0004666,              0.0004666
                     38,                0.03963,                0.87619,                      1,                0.67554,             0.00045953,             0.00045953,             0.00045953
                     39,                0.03623,                0.90476,                      1,                0.63794,             0.00045246,             0.00045246,             0.00045246
                     40,                0.03332,                0.85714,                      1,                0.66089,             0.00044539,             0.00044539,             0.00044539
                     41,                0.02747,                0.86667,                      1,                0.66479,             0.00043832,             0.00043832,             0.00043832
                     42,                0.03762,                0.88571,                      1,                0.68408,             0.00043126,             0.00043126,             0.00043126
                     43,                0.02929,                0.87619,                      1,                0.66479,             0.00042419,             0.00042419,             0.00042419
                     44,                0.03027,                0.89524,                      1,                0.65576,             0.00041712,             0.00041712,             0.00041712
                     45,                0.03754,                0.86667,                      1,                0.68201,             0.00041005,             0.00041005,             0.00041005
                     46,                0.02521,                0.85714,                      1,                 0.7196,             0.00040298,             0.00040298,             0.00040298
                     47,                0.02376,                0.87619,                      1,                0.65369,             0.00039591,             0.00039591,             0.00039591
                     48,                0.02627,                0.89524,                      1,                0.64026,             0.00038884,             0.00038884,             0.00038884
                     49,                0.02335,                0.89524,                      1,                0.65466,             0.00038178,             0.00038178,             0.00038178
                     50,                0.02908,                0.88571,                      1,                0.64355,             0.00037471,             0.00037471,             0.00037471
                     51,                0.02976,                0.87619,                      1,                0.66748,             0.00036764,             0.00036764,             0.00036764
                     52,                0.01749,                0.88571,                      1,                0.64551,             0.00036057,             0.00036057,             0.00036057
                     53,                0.02937,                0.91429,                      1,                0.64246,              0.0003535,              0.0003535,              0.0003535
                     54,                0.02021,                0.87619,                      1,                0.69019,             0.00034643,             0.00034643,             0.00034643
                     55,                0.03003,                0.88571,                      1,                0.65466,             0.00033936,             0.00033936,             0.00033936
                     56,                0.02129,                0.88571,                      1,                0.68347,              0.0003323,              0.0003323,              0.0003323
                     57,                0.02577,                0.89524,                      1,                0.66089,             0.00032523,             0.00032523,             0.00032523
                     58,                0.03608,                0.90476,                      1,                0.63708,             0.00031816,             0.00031816,             0.00031816
                     59,                  0.021,                0.86667,                      1,                 0.6604,             0.00031109,             0.00031109,             0.00031109
                     60,                0.02345,                0.87619,                      1,                0.65259,             0.00030402,             0.00030402,             0.00030402
                     61,                0.02545,                0.89524,                      1,                0.64148,             0.00029695,             0.00029695,             0.00029695
                     62,                0.01969,                0.86667,                      1,                0.66699,             0.00028988,             0.00028988,             0.00028988
                     63,                0.02095,                0.87619,                      1,                0.68616,             0.00028282,             0.00028282,             0.00028282
                     64,                0.02128,                0.87619,                      1,                0.69373,             0.00027575,             0.00027575,             0.00027575
                     65,                0.01761,                0.87619,                      1,                0.64062,             0.00026868,             0.00026868,             0.00026868
                     66,                0.01736,                0.86667,                      1,                0.67493,             0.00026161,             0.00026161,             0.00026161
                     67,                 0.0212,                0.88571,                      1,                0.65674,             0.00025454,             0.00025454,             0.00025454
                     68,                0.01873,                0.87619,                      1,                0.66528,             0.00024747,             0.00024747,             0.00024747
                     69,                0.01957,                0.86667,                      1,                0.65674,              0.0002404,              0.0002404,              0.0002404
                     70,                0.01561,                0.88571,                      1,                0.65222,             0.00023334,             0.00023334,             0.00023334
                     71,                0.01486,                0.84762,                      1,                0.70422,             0.00022627,             0.00022627,             0.00022627
                     72,                0.01549,                0.87619,                      1,                0.67871,              0.0002192,              0.0002192,              0.0002192
                     73,                0.01766,                0.87619,                      1,                0.65857,             0.00021213,             0.00021213,             0.00021213
                     74,                0.02069,                0.87619,                      1,                0.66687,             0.00020506,             0.00020506,             0.00020506
                     75,                0.01825,                0.87619,                      1,                0.70569,             0.00019799,             0.00019799,             0.00019799
